bandwidth_mhz,angle_deg,no_reflector_dbm,spatial_average_dbm,Center with reflector,Front 10 cm,Back 10 cm,Left 10 cm,Right 10 cm,diff_before_1_db,diff_before_2_db,diff_before_3_db,diff_before_4_db,diff_before_5_db,diff_spatial_average_db
20,0.0,-85.28,-84.4,-84.78,-80.41,-88.29,-84.01,-84.51,0.5,4.3700000000000045,7.88000000000001,4.280000000000001,0.5,0.10999999999999943
20,30.0,-91.92,-91.59599999999999,-92.35,-91.83,-90.96,-89.52,-93.32,0.4299999999999926,0.519999999999996,0.8700000000000045,1.4399999999999977,3.799999999999997,1.7240000000000038
20,60.0,-92.55,-92.292,-92.63,-91.5,-93.92,-91.63,-91.78,0.0799999999999983,1.1299999999999955,2.4200000000000017,2.2900000000000063,0.15000000000000568,0.5120000000000005
20,90.0,-90.63,-90.94800000000001,-91.42,-90.96,-90.51,-91.85,-90.0,0.7900000000000063,0.46000000000000796,0.44999999999998863,1.3399999999999892,1.8499999999999943,0.9480000000000075
20,120.0,-88.99,-88.038,-86.96,-86.92,-88.18,-89.99,-88.14,2.030000000000001,0.03999999999999204,1.2600000000000051,1.809999999999988,1.8499999999999943,0.10200000000000387
20,150.0,-87.92,-86.216,-86.93,-87.96,-84.93,-86.88,-84.38,0.9899999999999949,1.029999999999987,3.029999999999987,1.9499999999999886,2.5,1.8359999999999985
20,180.0,-80.29,-81.432,-82.66,-82.49,-81.54,-79.79,-80.68,2.3699999999999903,0.1700000000000017,0.9499999999999886,1.75,0.8900000000000006,0.7519999999999953
20,210.0,-87.54,-88.046,-87.89,-88.19,-87.65,-89.57,-86.93,0.3499999999999943,0.29999999999999716,0.539999999999992,1.9199999999999875,2.6399999999999864,1.1159999999999997
20,240.0,-88.14,-87.66399999999999,-87.74,-86.76,-88.31,-88.6,-86.91,0.4000000000000057,0.9799999999999898,1.5499999999999972,0.28999999999999204,1.6899999999999977,0.7539999999999907
20,270.0,-87.41,-87.66400000000002,-87.89,-88.26,-87.44,-87.44,-87.29,0.480000000000004,0.37000000000000455,0.8200000000000074,0.0,0.14999999999999147,0.37400000000000944
20,300.0,-88.33,-88.40400000000001,-87.73,-89.02,-88.39,-88.59,-88.29,0.5999999999999943,1.289999999999992,0.6299999999999955,0.20000000000000284,0.29999999999999716,0.11400000000000432
20,330.0,-92.96,-92.52400000000002,-93.02,-93.59,-91.92,-91.54,-92.55,0.060000000000002274,0.5700000000000074,1.6700000000000017,0.37999999999999545,1.009999999999991,0.025999999999982037
20,360.0,-85.28,-84.4,-84.78,-80.41,-88.29,-84.01,-84.51,0.5,4.3700000000000045,7.88000000000001,4.280000000000001,0.5,0.10999999999999943
50,0.0,-81.78,-80.626,-81.28,-77.42,-84.35,-79.44,-80.64,0.5,3.8599999999999994,6.929999999999993,4.909999999999997,1.2000000000000028,0.013999999999995794
50,30.0,-87.94,-87.604,-88.36,-87.84,-86.52,-85.96,-89.34,0.4200000000000017,0.519999999999996,1.3200000000000074,0.5600000000000023,3.3800000000000097,1.7360000000000042
50,60.0,-88.55,-88.308,-88.42,-87.23,-89.84,-88.13,-87.92,0.12999999999999545,1.1899999999999977,2.6099999999999994,1.710000000000008,0.20999999999999375,0.38800000000000523
50,90.0,-86.68,-86.88000000000001,-87.29,-86.92,-86.78,-88.18,-85.23,0.6099999999999994,0.37000000000000455,0.14000000000000057,1.4000000000000057,2.950000000000003,1.6500000000000057
50,120.0,-85.29,-84.37400000000001,-83.68,-83.42,-84.29,-85.99,-84.49,1.6099999999999994,0.2600000000000051,0.8700000000000045,1.6999999999999886,1.5,0.11599999999998545
50,150.0,-83.92,-82.452,-82.43,-83.96,-81.39,-83.68,-80.8,1.4899999999999949,1.529999999999987,2.569999999999993,2.2900000000000063,2.8800000000000097,1.652000000000001
50,180.0,-76.29,-76.95,-77.7,-78.41,-77.45,-75.49,-75.7,1.4099999999999966,0.7099999999999937,0.9599999999999937,1.960000000000008,0.21000000000000796,1.25
50,210.0,-83.54,-84.02000000000001,-84.23,-83.75,-83.75,-85.57,-82.8,0.6899999999999977,0.480000000000004,0.0,1.8199999999999932,2.769999999999996,1.220000000000013
50,240.0,-84.23,-83.71400000000001,-83.27,-83.27,-84.58,-84.54,-82.91,0.960000000000008,0.0,1.3100000000000023,0.03999999999999204,1.6300000000000097,0.8040000000000163
50,270.0,-83.41,-83.688,-84.39,-84.56,-83.11,-82.89,-83.49,0.980000000000004,0.1700000000000017,1.4500000000000028,0.21999999999999886,0.5999999999999943,0.1980000000000075
50,300.0,-84.34,-84.68,-84.18,-85.49,-84.39,-85.05,-84.29,0.1599999999999966,1.309999999999988,1.0999999999999943,0.6599999999999966,0.7599999999999909,0.39000000000000057
50,330.0,-88.96,-88.612,-89.02,-89.59,-87.94,-87.96,-88.55,0.060000000000002274,0.5700000000000074,1.6500000000000057,0.01999999999999602,0.5900000000000034,0.06199999999999761
50,360.0,-81.78,-80.626,-81.28,-77.42,-84.35,-79.44,-80.64,0.5,3.8599999999999994,6.929999999999993,4.909999999999997,1.2000000000000028,0.013999999999995794
100,0.0,-78.01,-77.84,-78.01,-75.7,-81.29,-75.03,-79.17,0.0,2.3100000000000023,5.590000000000003,6.260000000000005,4.140000000000001,1.3299999999999983
