bandwidth_mhz,reflection_db_true,delay_ns_true,reflection_db_est,delay_ns_est,reflection_db_error,delay_ns_error,measured_power_db,restored_power_db,ideal_los_power_db,measured_error_db,restored_error_db,fit_rmse_db
10,-5.000000,6.000000,-4.999543,6.000041,0.000457,0.000041,0.200582,-2.638901,-2.638641,2.839223,-0.000260,0.000047
10,-10.000000,6.000000,-9.999737,6.000094,0.000263,0.000094,-5.220153,-2.638809,-2.638641,-2.581512,-0.000168,0.000018
10,-20.000000,6.000000,-19.999793,6.000061,0.000207,0.000061,-2.224514,-2.638784,-2.638641,0.414126,-0.000144,0.000003
10,-30.000000,6.000000,-29.999792,6.000061,0.000208,0.000061,-2.806621,-2.638781,-2.638641,-0.167981,-0.000141,0.000001
10,-5.000000,10.000000,-4.999273,9.999863,0.000727,-0.000137,-7.325665,-2.638926,-2.638641,-4.687024,-0.000285,0.000093
10,-10.000000,10.000000,-9.999474,9.999773,0.000526,-0.000227,-3.856783,-2.638821,-2.638641,-1.218142,-0.000181,0.000021
10,-20.000000,10.000000,-19.999570,9.999842,0.000430,-0.000158,-3.279289,-2.638784,-2.638641,-0.640649,-0.000143,0.000007
10,-30.000000,10.000000,-29.999571,9.999849,0.000429,-0.000151,-2.869021,-2.638782,-2.638641,-0.230380,-0.000141,0.000003
10,-5.000000,20.000000,-4.999223,19.999875,0.000777,-0.000125,-0.891337,-2.638994,-2.638641,1.747304,-0.000354,0.000081
10,-10.000000,20.000000,-9.999519,19.999853,0.000481,-0.000147,-4.390456,-2.638834,-2.638641,-1.751815,-0.000194,0.000027
10,-20.000000,20.000000,-19.999621,19.999830,0.000379,-0.000170,-2.540457,-2.638789,-2.638641,0.098183,-0.000149,0.000005
10,-30.000000,20.000000,-29.999609,19.999761,0.000391,-0.000239,-2.608204,-2.638782,-2.638641,0.030436,-0.000141,0.000001
20,-5.000000,6.000000,-4.921738,5.881091,0.078262,-0.118909,-4.856564,-0.000842,-0.003066,-4.853498,0.002225,0.045020
20,-10.000000,6.000000,-9.923201,5.959953,0.076799,-0.040047,2.238518,-0.022481,-0.003066,2.241584,-0.019414,0.009199
20,-20.000000,6.000000,-19.971729,5.968665,0.028271,-0.031335,0.337694,-0.000755,-0.003066,0.340760,0.002311,0.002028
20,-30.000000,6.000000,-29.935997,5.926708,0.064003,-0.073292,0.125770,-0.002136,-0.003066,0.128836,0.000930,0.000656
20,-5.000000,10.000000,-4.983571,9.901015,0.016429,-0.098985,2.285572,0.005891,-0.003066,2.288638,0.008957,0.035735
20,-10.000000,10.000000,-9.926719,9.808448,0.073281,-0.191552,-2.431739,0.003074,-0.003066,-2.428673,0.006140,0.021770
20,-20.000000,10.000000,-20.038234,9.849512,-0.038234,-0.150488,0.417812,-0.004897,-0.003066,0.420878,-0.001831,0.018639
